MODIND,ManagedElementType,SubNetwork,ManagedElement,NE_Name,ldn,moId,userLabel,mbsSwitch,masterOperatorId,cityLabel,cellLocalId,nrCarrierGroupId,duMeMoId,nrPhysicalCellDUId,operatorPriority,plmnIdList,pciReuseLayers,pciReuseDistance,pciSectionID,sonModifyPciSwitch,longitude,latitude,azimuth,altitude,testState,reserved61,reserved62,reserved63,reserved64,reserved65,reserved66,reserved67,reserved68,reserved69,reserved70,reserved71,reserved72,reserved73,reserved74,reserved75,reserved76,reserved77,reserved78,reserved79,reserved80,reserved98,reserved99,reserved100
,ITBBU,321363,13584409,SQ5GZTB沭阳_沭阳扎下支局BBU7,GNBCUCPFunction=460-11_13584409，NRCellCU=1029,1029,SQ5GZTB沭阳_沭阳扎下冯徐联通_AA_1029,关闭[0],46011-13584409-1029,SQ,1029,6,13584409,6,0,460-11,4,3000,0,打开[1],118.78748,34.19081,260,58,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584402,SQ5GZTB沭阳_沭阳汤涧支局BBU2,GNBCUCPFunction=460-01_13584402，NRCellCU=1029,1029,SQ5GZTB沭阳_沭阳汤涧东_AA_1029,关闭[0],46011-13584402-1029,SQ,1029,6,13584402,6,0,460-01,4,3000,0,打开[1],119.0114,34.13349,270,44,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584416,SQ5GZTB沭阳_沭阳塘沟支局BBU3,GNBCUCPFunction=460-01_13584416，NRCellCU=1024,1024,SQ5GZTB沭阳_沭阳塘沟镇政府_AA_1024,关闭[0],46011-13584416-1024,SQ,1024,1,13584416,1,0,460-01,4,3000,0,打开[1],118.96408,33.98181,50,34,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584404,SQ5GZTB沭阳_沭阳青伊湖支局BBU2,GNBCUCPFunction=460-11_13584404，NRCellCU=1032,1032,SQ5GZTB沭阳_沭阳青伊湖二_AA_1032,关闭[0],46011-13584404-1032,SQ,1032,9,13584404,9,0,460-11,4,3000,0,打开[1],118.903,34.3158,260,43,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584404,SQ5GZTB沭阳_沭阳青伊湖支局BBU2,GNBCUCPFunction=460-11_13584404，NRCellCU=1031,1031,SQ5GZTB沭阳_沭阳青伊湖二_AA_1031,关闭[0],46011-13584404-1031,SQ,1031,8,13584404,8,0,460-11,4,3000,0,打开[1],118.903,34.3158,120,43,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584404,SQ5GZTB沭阳_沭阳青伊湖支局BBU2,GNBCUCPFunction=460-01_13584404，NRCellCU=1031,1031,SQ5GZTB沭阳_沭阳青伊湖二_AA_1031,关闭[0],46011-13584404-1031,SQ,1031,8,13584404,8,0,460-01,4,3000,0,打开[1],118.903,34.3158,120,43,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584410,SQ5GZTB沭阳_沭阳一分局BBU19,GNBCUCPFunction=460-11_13584410，NRCellCU=1027,1027,SQ5GZTB沭阳_沭阳欧中广场3F卫生间旁（室分）_AA_1027,关闭[0],46011-13584410-1027,SQ,1027,4,13584410,4,0,460-11,4,3000,0,打开[1],118.7746,34.12783,0,0,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584404,SQ5GZTB沭阳_沭阳青伊湖支局BBU2,GNBCUCPFunction=460-01_13584404，NRCellCU=1032,1032,SQ5GZTB沭阳_沭阳青伊湖二_AA_1032,关闭[0],46011-13584404-1032,SQ,1032,9,13584404,9,0,460-01,4,3000,0,打开[1],118.903,34.3158,260,43,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584404,SQ5GZTB沭阳_沭阳青伊湖支局BBU2,GNBCUCPFunction=460-01_13584404，NRCellCU=1030,1030,SQ5GZTB沭阳_沭阳青伊湖二_AA_1030,关闭[0],46011-13584404-1030,SQ,1030,7,13584404,7,0,460-01,4,3000,0,打开[1],118.903,34.3158,0,43,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13584404,SQ5GZTB沭阳_沭阳青伊湖支局BBU2,GNBCUCPFunction=460-11_13584404，NRCellCU=1030,1030,SQ5GZTB沭阳_沭阳青伊湖二_AA_1030,关闭[0],46011-13584404-1030,SQ,1030,7,13584404,7,0,460-11,4,3000,0,打开[1],118.903,34.3158,0,43,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ITBBU,321363,13583955,SQ5GZTB沭阳_沭阳七雄支局BBU2,GNBCUCPFunction=460-11_13583955，NRCellCU=1024,1024,SQ5GZTB沭阳_沭阳七雄殷庄_AA_1024,关闭[0],46011-13583955-1024,SQ,1024,3,13583955,1,0,460-11,4,3000,0,打开[1],118.89538,34.13275,0,49,正常状态[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
