物理站址名,归属,CI,子网ID,5G基站号-网元号,eNodeBID,SectorID-Eutran小区ID,CELLName,CellID-小区号,PCI,TAC,band,UplinkCenterCarrierFrequency,DownlinkCenterCarrierFrequency,下行信道带宽,网元名,经度,纬度,跟序列,方位角,业务IP地址,场景,站型,覆盖类型,,,
大丰市_草堰界中C_宏站型,大丰区,864356_11,320934,14594823,864356,11,YC_DF_ZX_大丰草堰界中C_FL_A_1,11,207,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_大丰草堰界中C_FL,120.3306,32.93876,91,95,,,宏站,1,,,
大丰市_草堰界中C_宏站型,大丰区,864356_21,320934,14594823,864356,21,YC_DF_ZX_大丰草堰界中C_FL_B_1,21,208,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_大丰草堰界中C_FL,120.3306,32.93876,98,215,,,宏站,1,,,
大丰市_草堰界中C_宏站型,大丰区,864356_31,320934,14594823,864356,31,YC_DF_ZX_大丰草堰界中C_FL_C_1,31,209,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_大丰草堰界中C_FL,120.3306,32.93876,105,335,,,宏站,1,,,
射阳县_射兴六队_宏站型,射阳县,864379_11,320938,14595841,864379,11,YC_SY_ZX_射兴六队_FL_A_1,11,255,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射兴六队_FL,120.2877974,33.75663829,70,340,,,宏站,1,,,
射阳县_射兴六队_宏站型,射阳县,864379_21,320938,14595841,864379,21,YC_SY_ZX_射兴六队_FL_B_1,21,256,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射兴六队_FL,120.2877974,33.75663829,77,130,,,宏站,1,,,
射阳县_射兴六队_宏站型,射阳县,864379_31,320938,14595841,864379,31,YC_SY_ZX_射兴六队_FL_C_1,31,257,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射兴六队_FL,120.2877974,33.75663829,91,220,,,宏站,1,,,
射阳_H6中北小学_宏站型,射阳县,865457_11,320938,14595848,865457,11,YC_SY_ZX_射阳_H6中北小学_宏站型_FL_A_1,11,375,20915,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳_H6中北小学_宏站型_FL,120.185001,33.807001,7,0,,,宏站,1,,,
射阳_H6中北小学_宏站型,射阳县,865457_21,320938,14595848,865457,21,YC_SY_ZX_射阳_H6中北小学_宏站型_FL_B_1,21,376,20915,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳_H6中北小学_宏站型_FL,120.185001,33.807001,14,120,,,宏站,1,,,
射阳_H6中北小学_宏站型,射阳县,865457_31,320938,14595848,865457,31,YC_SY_ZX_射阳_H6中北小学_宏站型_FL_C_1,31,377,20915,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_射阳_H6中北小学_宏站型_FL,120.185001,33.807001,28,240,,,宏站,1,,,
海河巨星村,射阳县,865441_11,320938,14595845,865441,11,YC_SY_ZX_海河巨星村_FL9_A_1,11,60,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_海河巨星村_FL9,120.084921,33.723681,0,0,,,宏站,1,,,
海河巨星村,射阳县,865441_21,320938,14595845,865441,21,YC_SY_ZX_海河巨星村_FL9_B_1,21,61,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_海河巨星村_FL9,120.084921,33.723681,7,120,,,宏站,1,,,
海河巨星村,射阳县,865441_31,320938,14595845,865441,31,YC_SY_ZX_海河巨星村_FL9_C_1,31,62,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_海河巨星村_FL9,120.084921,33.723681,14,240,,,宏站,1,,,
合德淮海村,射阳县,865456_11,320938,14595847,865456,11,YC_SY_ZX_合德淮海村_FL9_A_1,11,315,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_合德淮海村_FL9,120.2589,33.7444,7,0,,,宏站,1,,,
合德淮海村,射阳县,865456_21,320938,14595847,865456,21,YC_SY_ZX_合德淮海村_FL9_B_1,21,316,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_合德淮海村_FL9,120.2589,33.7444,14,120,,,宏站,1,,,
合德淮海村,射阳县,865456_31,320938,14595847,865456,31,YC_SY_ZX_合德淮海村_FL9_C_1,31,317,20924,8,909.5,954.5,10(50RB)[3],YC_SY_ZX_合德淮海村_FL9,120.2589,33.7444,28,240,,,宏站,1,,,
L描花节点,大丰区,865494_11,320934,14594842,865494,11,YC_DF_ZX_L描花节点_FL9_A_1,11,261,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_L描花节点_FL9,120.612778,33.229167,0,0,,,宏站,1,,,
L描花节点,大丰区,865494_21,320934,14594842,865494,21,YC_DF_ZX_L描花节点_FL9_B_1,21,262,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_L描花节点_FL9,120.612778,33.229167,7,120,,,宏站,1,,,
L描花节点,大丰区,865494_31,320934,14594842,865494,31,YC_DF_ZX_L描花节点_FL9_C_1,31,263,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_L描花节点_FL9,120.612778,33.229167,14,240,,,宏站,1,,,
白驹工业园,大丰区,865128_11,320934,14594818,865128,11,YC_DF_ZX_白驹工业园_FL9_A_1,11,369,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_白驹工业园_FL9,120.34,33.0813,7,0,,,宏站,1,,,
白驹工业园,大丰区,865128_21,320934,14594818,865128,21,YC_DF_ZX_白驹工业园_FL9_B_1,21,370,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_白驹工业园_FL9,120.34,33.0813,14,120,,,宏站,1,,,
白驹工业园,大丰区,865128_31,320934,14594818,865128,31,YC_DF_ZX_白驹工业园_FL9_C_1,31,371,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_白驹工业园_FL9,120.34,33.0813,21,240,,,宏站,1,,,
盐都区_西港别墅区（中兴电信局）_宏站型,盐都区,866081_11,320931,14594329,866081,11,YC_YD_ZX_西港别墅区_FL_A_1,11,261,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_西港别墅区_FL,119.935105,33.32777,7,0,,,宏站,1,,,
盐都区_西港别墅区（中兴电信局）_宏站型,盐都区,866081_21,320931,14594329,866081,21,YC_YD_ZX_西港别墅区_FL_B_1,21,262,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_西港别墅区_FL,119.935105,33.32777,14,120,,,宏站,1,,,
盐都区_西港别墅区（中兴电信局）_宏站型,盐都区,866081_31,320931,14594329,866081,31,YC_YD_ZX_西港别墅区_FL_C_1,31,263,20920,8,909.5,954.5,10(50RB)[3],YC_YD_ZX_西港别墅区_FL,119.935105,33.32777,21,240,,,宏站,1,,,
南阳祥北,大丰区,865671_11,320934,14594852,865671,11,YC_DF_ZX_南阳祥北_FL9_A_1,11,294,20927,8,909.5,954.5,10(50RB)[3],YC_DF_ZX_南阳祥北_FL9,120.534161,33.106661,0,0,,,宏站,1,,,
